cat_type,category,subcategory,Fiscal 2015/16 Q1,Fiscal 2015/16 Q2,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"52,236,010","49,519,951","44,761,632","36,098,732","48,515,473"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"3,927,908","4,775,776","4,433,613","4,366,017","5,593,113"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"9,094,263","9,722,444","8,694,384","7,600,940","10,033,609"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"4,378,195","4,332,159","3,086,776","2,992,090","5,126,311"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"25,073","30,976","27,223","26,580","40,086"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"862,782","852,399","766,143","670,790","722,172"
Beer,Import Beer,Asia And South Pacific Beer,"382,897","415,405","357,325","307,965","380,181"
Beer,Import Beer,Europe Beer,"5,826,618","6,200,342","6,017,686","5,235,413","6,365,750"
Beer,Import Beer,Mexico And Caribbean Beer,"2,822,927","3,023,266","1,719,690","1,436,040","2,757,203"
Beer,Import Beer,Other Country Beer,"9,198","10,993","9,929","10,563","13,473"
Beer,Import Beer,USA Beer,"3,040,773","3,359,540","2,736,908","2,530,638","3,389,088"
