cat_type,category,subcategory,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3,Fiscal 2021/22 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"28,684,070","36,876,183","35,268,434","30,910,375","27,952,923"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"5,828,216","7,957,700","8,532,267","6,543,165","6,277,630"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"10,279,072","13,826,724","13,600,661","11,979,278","10,704,551"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"6,757,958","11,036,018","10,963,076","7,600,586","6,681,848"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"21,524","27,302","28,814","21,569","12,913"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"156,200","207,762","218,105","175,054","165,236"
Beer,Import Beer,Asia And South Pacific Beer,"216,977","239,888","254,727","270,570","248,985"
Beer,Import Beer,Europe Beer,"3,963,466","4,831,963","4,771,045","4,256,503","3,942,092"
Beer,Import Beer,Mexico And Caribbean Beer,"358,385","757,252","713,922","363,147","388,916"
Beer,Import Beer,Other Country Beer,"29,489","26,884","26,917","20,945","8,878"
Beer,Import Beer,USA Beer,"333,200","444,376","313,270","292,848","301,222"
