cat_type,category,subcategory,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3,Fiscal 2021/22 Q4,Fiscal 2022/23 Q1,Fiscal 2022/23 Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"35,266,771","30,906,551","27,945,496","34,219,316","36,498,949"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"8,836,299","6,771,500","6,482,757","8,614,405","9,009,552"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"13,308,480","11,758,139","10,567,761","13,825,505","14,144,040"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"10,962,503","7,599,842","6,678,812","10,354,160","11,610,238"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"29,757","21,985","13,202","25,591","29,605"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"217,704","174,793","165,113","213,165","226,295"
Beer,Import Beer,Asia And South Pacific Beer,"254,727","270,570","249,099","313,137","255,192"
Beer,Import Beer,Europe Beer,"4,771,033","4,256,283","3,941,409","4,832,671","4,275,701"
Beer,Import Beer,Mexico And Caribbean Beer,"713,914","363,156","388,696","664,524","682,789"
Beer,Import Beer,Other Country Beer,"26,905","20,933","8,878","5,524","4,320"
Beer,Import Beer,USA Beer,"313,247","292,843","301,161","413,698","465,743"
